idCard;IdAnalit01;ttimebegin;ttimeend;nextday
105559;z0001828;08:00;17:00;0
70573;z0001828;08:00;17:00;0
70596;z0001828;08:00;17:00;0
70604;z0001828;08:00;17:00;0
70638;z0001828;08:00;17:00;0
120788;z0001828;08:00;17:00;0
70652;z0001828;08:00;17:00;0
70724;z0001828;08:00;17:00;0
71150;z0001828;08:00;17:00;0
