idCard;ddate;IdAnalit01;ttimebegin;ttimeend;nextday
120788;10.03.2021;z0001828;08:00;17:00;0
120788;11.03.2021;z0001828;08:00;17:00;0
120788;12.03.2021;z0001828;08:00;17:00;0
120788;15.03.2021;z0001828;08:00;17:00;0
120788;16.03.2021;z0001828;08:00;17:00;0
120788;17.03.2021;z0001828;08:00;17:00;0
120788;18.03.2021;z0001828;08:00;17:00;0
120788;19.03.2021;z0001828;08:00;17:00;0
120788;22.03.2021;z0001828;08:00;17:00;0
120788;23.03.2021;z0001828;08:00;17:00;0
120788;24.03.2021;z0001828;08:00;17:00;0
120788;25.03.2021;z0001828;08:00;17:00;0
120788;26.03.2021;z0001828;08:00;17:00;0
120788;29.03.2021;z0001828;08:00;17:00;0
120788;30.03.2021;z0001828;08:00;17:00;0
120788;31.03.2021;z0001828;08:00;17:00;0
70652;01.03.2021;z0001828;08:00;17:00;0
70652;02.03.2021;z0001828;08:00;17:00;0
70652;03.03.2021;z0001828;08:00;17:00;0
70652;08.03.2021;z0001828;08:00;17:00;0
70652;09.03.2021;z0001828;08:00;17:00;0
70652;10.03.2021;z0001828;08:00;17:00;0
70652;11.03.2021;z0001828;08:00;17:00;0
70652;12.03.2021;z0001828;08:00;17:00;0
70652;15.03.2021;z0001828;08:00;17:00;0
70652;16.03.2021;z0001828;08:00;17:00;0
70652;17.03.2021;z0001828;08:00;17:00;0
70652;18.03.2021;z0001828;08:00;17:00;0
70652;19.03.2021;z0001828;08:00;17:00;0
70652;22.03.2021;z0001828;08:00;17:00;0
70652;23.03.2021;z0001828;08:00;17:00;0
70652;24.03.2021;z0001828;08:00;17:00;0
70652;25.03.2021;z0001828;08:00;17:00;0
70652;26.03.2021;z0001828;08:00;17:00;0
70652;29.03.2021;z0001828;08:00;17:00;0
70652;30.03.2021;z0001828;08:00;17:00;0
70652;31.03.2021;z0001828;08:00;17:00;0
70724;01.03.2021;z0001828;08:00;17:00;0
70724;02.03.2021;z0001828;08:00;17:00;0
70724;03.03.2021;z0001828;08:00;17:00;0
70724;08.03.2021;z0001828;08:00;17:00;0
70724;09.03.2021;z0001828;08:00;17:00;0
70724;10.03.2021;z0001828;08:00;17:00;0
70724;11.03.2021;z0001828;08:00;17:00;0
70724;12.03.2021;z0001828;08:00;17:00;0
70724;15.03.2021;z0001828;08:00;17:00;0
70724;16.03.2021;z0001828;08:00;17:00;0
70724;17.03.2021;z0001828;08:00;17:00;0
70724;18.03.2021;z0001828;08:00;17:00;0
70724;19.03.2021;z0001828;08:00;17:00;0
70724;22.03.2021;z0001828;08:00;17:00;0
70724;23.03.2021;z0001828;08:00;17:00;0
70724;24.03.2021;z0001828;08:00;17:00;0
70724;25.03.2021;z0001828;08:00;17:00;0
70724;26.03.2021;z0001828;08:00;17:00;0
70724;29.03.2021;z0001828;08:00;17:00;0
70724;30.03.2021;z0001828;08:00;17:00;0
70724;31.03.2021;z0001828;08:00;17:00;0
71150;01.03.2021;z0001828;08:00;17:00;0
71150;02.03.2021;z0001828;08:00;17:00;0
71150;03.03.2021;z0001828;08:00;17:00;0
71150;08.03.2021;z0001828;08:00;17:00;0
71150;09.03.2021;z0001828;08:00;17:00;0
71150;10.03.2021;z0001828;08:00;17:00;0
71150;11.03.2021;z0001828;08:00;17:00;0
71150;12.03.2021;z0001828;08:00;17:00;0
71150;15.03.2021;z0001828;08:00;17:00;0
71150;16.03.2021;z0001828;08:00;17:00;0
71150;17.03.2021;z0001828;08:00;17:00;0
71150;18.03.2021;z0001828;08:00;17:00;0
71150;19.03.2021;z0001828;08:00;17:00;0
71150;22.03.2021;z0001828;08:00;17:00;0
71150;23.03.2021;z0001828;08:00;17:00;0
71150;24.03.2021;z0001828;08:00;17:00;0
71150;25.03.2021;z0001828;08:00;17:00;0
71150;26.03.2021;z0001828;08:00;17:00;0
71150;29.03.2021;z0001828;08:00;17:00;0
71150;30.03.2021;z0001828;08:00;17:00;0
71150;31.03.2021;z0001828;08:00;17:00;0
